VFB_ID	external_IDs	cell_types
VFB_0010025s	['10809383']	['neuron', 'larval mushroom body one-step feedback neuron 14']
VFB_00100275	['9556700']	['Kenyon cell', 'neuron']
VFB_0010025t	['11003660']	['larval mushroom body one-step feedback neuron 1', 'neuron']
VFB_00100276	['8066411']	['immature Kenyon cell', 'neuron']
VFB_0010026a	['11476614']	['neuron', 'embryonic/larval neuron']
VFB_0010025y	['11234536']	['larval mushroom body feedforward neuron 20', 'neuron']
VFB_0010025z	['11361875']	['larval mushroom body feedforward neuron 27', 'neuron']
VFB_0010022b	['17361757']	['larval mushroom body-lateral horn convergence neuron', 'neuron']
VFB_0010022c	['17806341']	['larval lateral horn neuron', 'neuron']
VFB_0010022d	['20901068']	['embryonic/larval neuron', 'neuron']
VFB_0010022e	['20901073']	['neuron', 'embryonic/larval neuron']
VFB_0010022a	['17038587']	['neuron', 'larval mushroom body-lateral horn convergence neuron']
VFB_0010022j	['3945246']	['neuron', 'larval mushroom body second order output neuron']
VFB_0010022k	['4103336']	['neuron', 'embryonic/larval neuron']
VFB_0010022l	['4114133']	['neuron', 'embryonic/larval neuron']
VFB_0010022m	['4144377']	['larval mushroom body one-step feedback neuron 27', 'neuron']
VFB_0010022f	['1591351']	['neuron', 'larval mushroom body feedforward neuron 30']
VFB_0010022g	['2667061']	['larval mushroom body feedforward neuron 2', 'neuron']
VFB_0010022h	['2966602']	['neuron', 'larval mushroom body one-step feedback neuron 4']
VFB_0010022i	['3814175']	['larval mushroom body feedforward neuron 3', 'neuron']
VFB_0010022r	['4201020']	['larval mushroom body feedforward neuron 8', 'neuron']
VFB_00100244	['5051342']	['neuron', 'Kenyon cell']
VFB_0010022s	['4201555']	['neuron', 'larval mushroom body second order output neuron']
VFB_00100245	['8922644']	['mushroom body extrinsic neuron', 'neuron']
VFB_0010022t	['4234016']	['larval mushroom body feedforward neuron 41', 'neuron']
VFB_00100246	['5395823']	['larval mushroom body output neuron g2', 'neuron']
VFB_0010022u	['4337398']	['neuron', 'embryonic/larval neuron']
VFB_00100247	['8297018']	['mushroom body extrinsic neuron', 'neuron']
VFB_0010022n	['4152272']	['embryonic/larval neuron', 'neuron']
VFB_00100240	['4919895']	['immature Kenyon cell', 'neuron']
VFB_0010022o	['4180774']	['neuron', 'larval mushroom body one-step feedback neuron 24']
VFB_00100241	['8177991']	['neuron', 'Kenyon cell']
VFB_0010022p	['4190567']	['neuron', 'larval mushroom body one-step feedback neuron 20']
VFB_00100242	['4982172']	['Kenyon cell', 'neuron']
VFB_0010022q	['4199033']	['larval mushroom body feed across neuron 8', 'neuron']
VFB_00100243	['7802210']	['larval mushroom body output neuron i1', 'neuron']
VFB_0010022z	['4514494']	['neuron', 'larval mushroom body feed across neuron 3']
VFB_0010022v	['4408397']	['larval mushroom body feed across neuron 8', 'neuron']
VFB_00100248	['5835799']	['Kenyon cell', 'neuron']
VFB_0010022w	['4411688']	['neuron', 'larval mushroom body second order output neuron']
VFB_00100249	['5836035']	['neuron', 'Kenyon cell']
VFB_0010022x	['4473922']	['larval mushroom body feed across neuron 4', 'neuron']
VFB_0010022y	['4507955']	['larval mushroom body feedforward neuron 36', 'neuron']
VFB_0010023c	['5091874']	['neuron', 'embryonic/larval neuron']
VFB_0010023d	['5321459']	['neuron', 'larval mushroom body one-step feedback neuron 14']
VFB_0010023e	['5480553']	['larval mushroom body one-step feedback neuron 3', 'neuron']
VFB_0010023f	['5516552']	['larval mushroom body one-step feedback neuron 13', 'neuron']
VFB_0010023a	['4617479']	['larval mushroom body one-step feedback neuron 7', 'neuron']
