VFB_ID	external_ID	cell_types
VFB_001028gb	517843	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_001028ga	517831	['adult sensory neuron']
VFB_001028gl	517960	['adult sensory neuron']
VFB_001028gk	42914	['adult sensory neuron']
VFB_001028gn	517983	['adult sensory neuron']
VFB_001028i0	519813	['prothoracic leg muscle motor neuron']
VFB_001028gm	75687	['adult sensory neuron']
VFB_001028gh	517914	['adult sensory neuron']
VFB_001028gg	42906	['adult sensory neuron']
VFB_001028gj	517937	['adult sensory neuron']
VFB_001028gi	42910	['adult sensory neuron']
VFB_001028cp	515950	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_001028e2	73228	['adult sensory neuron']
VFB_001028co	21901	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_001028e1	26124	['mechanosensory neuron of leg chordotonal organ']
VFB_001028cr	81297	['adult sensory neuron']
VFB_001028e4	516632	['adult sensory neuron']
VFB_001028cq	25997	['prothoracic femoral chordotonal hook neuron']
VFB_001028e3	22034	['adult sensory neuron']
VFB_001028cl	515897	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_001028ck	73090	['adult sensory neuron']
VFB_001028cn	515925	['adult sensory neuron']
VFB_001028e0	73223	['adult sensory neuron']
VFB_001028cm	515910	['prothoracic femoral chordotonal claw neuron']
VFB_001028cx	83367	['adult sensory neuron']
VFB_001028cw	516045	['prothoracic femoral chordotonal hook neuron']
VFB_001028e9	516694	['mechanosensory neuron of prothoracic coxal hair plate CoHP8']
VFB_001028cz	189870	['adult sensory neuron']
VFB_001028cy	516071	['prothoracic femoral chordotonal hook neuron']
VFB_001028ct	79253	['adult PNS neuron', 'adult sensory neuron', 'sensory neuron of campaniform sensillum']
VFB_001028e6	516654	['adult PNS neuron', 'adult sensory neuron', 'sensory neuron of campaniform sensillum']
VFB_001028cs	515991	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_001028e5	73238	['adult sensory neuron']
VFB_001028cv	516032	['mechanosensory neuron of leg chordotonal organ']
VFB_001028e8	516679	['mechanosensory neuron of prothoracic coxal hair plate CoHP8']
VFB_001028cu	26006	['prothoracic femoral chordotonal hook neuron']
VFB_001028e7	516667	['adult sensory neuron']
VFB_001028da	516242	['adult PNS neuron', 'adult sensory neuron', 'sensory neuron of campaniform sensillum']
VFB_001028dc	77256	['adult sensory neuron']
VFB_001028db	516255	['adult PNS neuron', 'adult sensory neuron', 'sensory neuron of campaniform sensillum']
VFB_001028di	516345	['prothoracic femoral chordotonal club neuron']
VFB_001028dh	516334	['adult sensory neuron']
VFB_001028dk	516370	['prothoracic femoral chordotonal claw neuron']
VFB_001028dj	11743	['adult sensory neuron']
VFB_001028de	516294	['adult sensory neuron']
VFB_001028dd	516279	['prothoracic femoral chordotonal claw neuron']
VFB_001028dg	516321	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_001028df	26070	['prothoracic femoral chordotonal claw neuron']
VFB_001028dq	516452	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_001028f3	26241	['prothoracic femoral chordotonal claw neuron']
VFB_001028dp	516438	['prothoracic femoral chordotonal club neuron']
VFB_001028f2	517258	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
