Individual_id	Individual_label	External_id	FBbt_ids	FBbt_labels
VFB_jrchk7ya	WEDPN1A_a_R (FlyEM-HB:1440645010)	1440645010	['FBbt_00049454', 'FBbt_00050017']	['adult wedge projection neuron 1', 'adult BAlp3 lineage neuron']
VFB_jrchk7yf	WEDPN2A_R (FlyEM-HB:973765182)	973765182	['FBbt_00049455', 'FBbt_00050017']	['adult wedge projection neuron 2', 'adult BAlp3 lineage neuron']
VFB_jrchk7z8	WEDPN8A_R (FlyEM-HB:1539309050)	1539309050	['FBbt_00049664', 'FBbt_00050242']	['adult wedge projection neuron 8', 'adult DALd lineage neuron']
VFB_jrchk7aj	TRN_VP3_R (FlyEM-HB:2131696932)	2131696932	['FBbt_00047095', 'FBbt_00005918']	['adult neuron', 'thermosensory neuron']
VFB_jrchk45y	PPL204(PVL17)_L (FlyEM-HB:759464163)	759464163	['FBbt_00047095', 'FBbt_00005131']	['adult neuron', 'dopaminergic neuron']
VFB_jrchjupn	HRN_VP1l_R (FlyEM-HB:5813000247)	5813000247	['FBbt_00111336', 'FBbt_00005923']	['adult thermosensory neuron Ir21a VP1l', 'hygrosensory neuron']
VFB_jrchk2e9	ORN_VA7m (FlyEM-HB:2138552028)	2138552028	['FBbt_00048139', 'FBbt_00007386']	['adult sensory neuron VA7m', 'adult olfactory receptor neuron']
VFB_jrchk2dj	ORN_VA7m (FlyEM-HB:2107508409)	2107508409	['FBbt_00048139', 'FBbt_00007386']	['adult sensory neuron VA7m', 'adult olfactory receptor neuron']
VFB_jrchk2dx	ORN_VA7m (FlyEM-HB:5813077779)	5813077779	['FBbt_00048139', 'FBbt_00007386']	['adult sensory neuron VA7m', 'adult olfactory receptor neuron']
VFB_jrchk7zj	WEDPN8C_R (FlyEM-HB:1565802648)	1565802648	['FBbt_00049664', 'FBbt_00050242']	['adult wedge projection neuron 8', 'adult DALd lineage neuron']
VFB_jrchk82n	aSP-g1_R (FlyEM-HB:485775679)	485775679	['FBbt_00049330', 'FBbt_00110461']	['adult fruitless aSP-g1 neuron', 'adult fruitless aSP-g (female) neuron']
VFB_jrchk7ad	TRN_VP1m_R (FlyEM-HB:2009611617)	2009611617	['FBbt_00047226', 'FBbt_00049660']	['adult hygrosensory neuron Ir40a VP1d', 'adult hygrosensory neuron Ir68a VP1m']
