skid	name	paper_id	paper_name	fbbt_id	FBbt_ID
2198365	AV2b2#1	12870485	Paper: Dolan et al. 2019		
2205218	PD2a1#2	13040382	Paper: Dolan and Belliart-Guérin et al. 2018		
2227995	WED-PN1#1	12870485	Paper: Dolan et al. 2019		
2333007	MBON-y1pedc>a/B 298954 JSL	12823574	Paper: Felsenberg et al 2018	FBbt:00100246	
2391559	PV4c2#1	12870485	Paper: Dolan et al. 2019		
2402951	AD1d1#1	12870485	Paper: Dolan et al. 2019		
2425247	PV5a1#1	12870485	Paper: Dolan et al. 2019		
2548003	PV4a7#2	12870485	Paper: Dolan et al. 2019		
2638597	AV2b1#1	12870485	Paper: Dolan et al. 2019		
2684792	AV1a1#1	12870485	Paper: Dolan et al. 2019		
2794070	AV1a3#1	12870485	Paper: Dolan et al. 2019		
2842610	AD1b2#1	12870485	Paper: Dolan et al. 2019		
2851242	AV4a3#1	12870485	Paper: Dolan et al. 2019		
2969221	AD2a2#1	12870485	Paper: Dolan et al. 2019		
3075158	AD1b2#3	12870485	Paper: Dolan et al. 2019		
3078257	AD1b2#4	12870485	Paper: Dolan et al. 2019		
3080086	AD1b2#5	12870485	Paper: Dolan et al. 2019		
3080225	AD1b2#6	12870485	Paper: Dolan et al. 2019		
3104789	KCy 16943 BH	11490509	Paper: Zheng et al 2018	FBbt:00111061	
3136591	PV2c1#1	12870485	Paper: Dolan et al. 2019		
3345012	PD2b1#2	13040382	Paper: Dolan and Belliart-Guérin et al. 2018		
3367291	PV4a7#1	12870485	Paper: Dolan et al. 2019		
3445525	KCy 6487 ML-NS	11490509	Paper: Zheng et al 2018	FBbt:00111061	
3481901	PD3a1#1	12870485	Paper: Dolan et al. 2019		
3587600	AV5a1#1	12870485	Paper: Dolan et al. 2019		
3877150	AD1b2#7	12870485	Paper: Dolan et al. 2019		
3897655	PV4a1#2	12870485	Paper: Dolan et al. 2019		
3931736	PV3f1#1	12870485	Paper: Dolan et al. 2019		
3931886	PV2b1#1	12870485	Paper: Dolan et al. 2019		
3932461	PV2d1#1	12870485	Paper: Dolan et al. 2019		
3950037	WED-PN2#1	12870485	Paper: Dolan et al. 2019		
4017748	VNC-PN1#1	12870485	Paper: Dolan et al. 2019		
4044614	PV4a2#1	12870485	Paper: Dolan et al. 2019		
4100701	PV4a5#1	12870485	Paper: Dolan et al. 2019		
4176088	AV7a1#1	12870485	Paper: Dolan et al. 2019		
4182038	PD3a2#1	12870485	Paper: Dolan et al. 2019		
4191753	LO-PN1#1	12870485	Paper: Dolan et al. 2019		
4215506	PV4a4#1	12870485	Paper: Dolan et al. 2019		
4291899	Neuron 4291900 Putative MBON-B'2mp	12823574	Paper: Felsenberg et al 2018	FBbt:00100232	
4292232	PV4c3#1	12870485	Paper: Dolan et al. 2019		
4355299	PV4a10#1	12870485	Paper: Dolan et al. 2019		
4513533	AD1b2#8	12870485	Paper: Dolan et al. 2019		
4672476	WED-PN5#1	12870485	Paper: Dolan et al. 2019		
4744251	AD1b2#9	12870485	Paper: Dolan et al. 2019		
4902612	AV6b1#1	12870485	Paper: Dolan et al. 2019		
4945705	PV5b3#1	12870485	Paper: Dolan et al. 2019		
4946872	WED-PN6#1	12870485	Paper: Dolan et al. 2019		
4974403	PLP-PN1#1	12870485	Paper: Dolan et al. 2019		
5292219	PV5b2#1	12870485	Paper: Dolan et al. 2019		
5676478	PV5c1#1	12870485	Paper: Dolan et al. 2019		
5807217	PV5g2#1	12870485	Paper: Dolan et al. 2019		
5918547	PV4a2#3	12870485	Paper: Dolan et al. 2019		
5990596	AV4b8#1	12870485	Paper: Dolan et al. 2019		
6197374	PV5c2#1	12870485	Paper: Dolan et al. 2019		
6203604	PV4b1#1	12870485	Paper: Dolan et al. 2019		
6536624	AD1b1#1	12870485	Paper: Dolan et al. 2019		
6772893	AV6c1#1	12870485	Paper: Dolan et al. 2019		
6825565	PV4a2#4	12870485	Paper: Dolan et al. 2019		
7483643	PV4a1#3	12870485	Paper: Dolan et al. 2019		
7739922	GNG-PN1#1	12870485	Paper: Dolan et al. 2019		
8521115	LO-PN2#1	12870485	Paper: Dolan et al. 2019		
8739442	PV6a1#1	12870485	Paper: Dolan et al. 2019		
8927505	AVLP-PN1#1	12870485	Paper: Dolan et al. 2019		
11519370	AD1a1#1	12870485	Paper: Dolan et al. 2019		
11519536	PV4b2#1	12870485	Paper: Dolan et al. 2019		
11520049	PV5a3#1	12870485	Paper: Dolan et al. 2019		
11522508	AV6b3#1	12870485	Paper: Dolan et al. 2019		
11522927	PV4a1#1	12870485	Paper: Dolan et al. 2019		
11524200	PV5b1#1	12870485	Paper: Dolan et al. 2019		
11524299	PV4b3#1	12870485	Paper: Dolan et al. 2019		
11524386	PV4a3#1	12870485	Paper: Dolan et al. 2019		
11524475	PV4d1#1	12870485	Paper: Dolan et al. 2019		
11545702	PV12a1#1	12870485	Paper: Dolan et al. 2019		
11547665	PD2a1#5	13040382	Paper: Dolan and Belliart-Guérin et al. 2018		
