source_id	VFB_id	label	parent_classes	name_in_banc	name_in_flywire_fafb	name_in_hemibrain	name_in_male-cns	name_in_manc	name_in_neuprint_optic_lobe
15541956	VFB_001001rl	BAmd1 d s 1 Left (L1EM:15541956)	['BAmd1 lineage neuron']						
17658672	VFB_00102fgm	BLVp1 hook 3 right (L1EM:17658672)	['BLVp1 lineage neuron']						
9103710	VFB_00102est	BLVp1 bilateral 1 right; Tel-like 1 BPL bilateral; BLVp1 6 (L1EM:9103710)	['BLVp1 lineage neuron']						
17036132	VFB_00102fc8	BAmd1 PN 1 right (L1EM:17036132)	['BAmd1 lineage neuron']						
8167696	VFB_00102eq4	DPLam Talon 2 left (L1EM:8167696)	['DPLam lineage neuron']						
14266559	VFB_001001m7	DPMpm2 s loSM 3 Left (L1EM:14266559)	['DPMpm2 lineage neuron']						
17728637	VFB_001001w6	BAlc post s 3 Left (L1EM:17728637)	['BAlc lineage neuron']						
11190781	VFB_001001hs	BLVp2 s 1 Left (L1EM:11190781)	['BLVp2 lineage neuron']						
13842372	VFB_00102f2i	BAmd2 contralateral descending 2 right (L1EM:13842372)	['BAmd2 lineage neuron']						
11030926	VFB_001001hl	DPMpm2 s 3 Left (L1EM:11030926)	['DPMpm2 lineage neuron']						
17475177	VFB_001001uc	DPMm1 s Left (L1EM:17475177)	['DPMm1 lineage neuron']						
15605301	VFB_00102f5h	DALl1 bilateral 1 left (L1EM:15605301)	['DALl1 lineage neuron']						
11313556	VFB_001001hw	DPMm1 desc s lat 1 Left (L1EM:11313556)	['DPMm1 lineage neuron']						
10995187	VFB_001001hj	DPMm1 Left (L1EM:10995187)	['DPMm1 lineage neuron']						
17728991	VFB_001001x6	BLAvm ant s 1 Left (L1EM:17728991)	['BLAvm lineage neuron']						
7422595	VFB_00102ep4	DALl1 5 right (L1EM:7422595)	['DALl1 lineage neuron']						
14547234	VFB_001001oi	CM4 s dor pos MEF 4 Right (L1EM:14547234)	['CM4 lineage neuron']						
3251140	VFB_00102ej4	BLVp1 hook right (L1EM:3251140)	['BLVp1 lineage neuron']						
14546936	VFB_001001nw	CM4 s loSM 4 Right (L1EM:14546936)	['CM4 lineage neuron']						
19376569	VFB_0010020e	DPMpm1 ppFB 3 - Left (L1EM:19376569)	['DPMpm1 lineage neuron']						
2667980	VFB_00102ehv	DPMm1 horseshoe 2 right (L1EM:2667980)	['DPMm1 lineage neuron']						
14761692	VFB_001001pj	DALl1 10 d SU  (L1EM:14761692)	['DALl1 lineage neuron']						
11050498	VFB_00102exm	BLVp1 bilateral 6 right (L1EM:11050498)	['BLVp1 lineage neuron']						
10961772	VFB_001001he	DPMm2 ppFB ant dor s 1 Left (L1EM:10961772)	['DPMm2 lineage neuron']						
16709072	VFB_00102fam	BAmd1 contralateral 1 right (L1EM:16709072)	['BAmd1 lineage neuron']						
10583715	VFB_00102ew0	DPMm1 FB1_left (L1EM:10583715)	['DPMm1 lineage neuron']						
10903519	VFB_001001h8	DPMpm2 s 1 Left (L1EM:10903519)	['DPMpm2 lineage neuron']						
14547173	VFB_001001od	CM4 s loSM 9 Right (L1EM:14547173)	['CM4 lineage neuron']						
11362589	VFB_00102eyf	DPMpl3 contralateral right; DPMpl3 4 MEF ant and comm subGC (L1EM:11362589)	['DPMpl3 lineage neuron']						
19375118	VFB_001001zx	DPMm1 ppFB s 2 Right (L1EM:19375118)	['DPMm1 lineage neuron']						
14547178	VFB_001001oe	CM4 s dor pos com 4 Right (L1EM:14547178)	['CM4 lineage neuron']						
13411525	VFB_00102f1p	DPMm1 ipsilateral sheet right (L1EM:13411525)	['DPMm1 lineage neuron']						
9948629	VFB_001001fz	DPMm1 ppFB s 1 Left (L1EM:9948629)	['DPMm1 lineage neuron']						
14547189	VFB_001001of	CM4 s loSM 10 Right (L1EM:14547189)	['CM4 lineage neuron']						
7429933	VFB_00102ep5	DPLam Talon 2 right; DALl1 6 STBA (L1EM:7429933)	['DPLam lineage neuron']						
16950443	VFB_00102fbp	DALd descending 4 right; DALd_r 9 (L1EM:16950443)	['DALd lineage neuron']						
17733190	VFB_001001z5	TR Balv s 8 Left (L1EM:17733190)	['BAlv lineage neuron']						
16950550	VFB_00102fbq	DALd descending 2 right; DALd_r 8 (L1EM:16950550)	['DALd lineage neuron']						
