skid	name	paper_id	paper_name	synonyms	FBbt_ID
15524629	MB2ON-116	21308444	Eschbach, Fushiki et al. 2020b	BK1;DALcl12 v d 20_left	
15566333	MB2ON-83	21308444	Eschbach, Fushiki et al. 2020b	V ; DPMpm2 4_left	
15568333	MB2ON-83	21308444	Eschbach, Fushiki et al. 2020b	V ; DPMpm2 4_right	
15590555	MB2IN-193	21308444	Eschbach, Fushiki et al. 2020b	CE ; NI_right|MB2ON-26	
15594113	MB2IN-193	21308444	Eschbach, Fushiki et al. 2020b	CE ; NI_left|MB2ON-26	
15612283	MB2ON-113	21308444	Eschbach, Fushiki et al. 2020b	BK: DALcl12 v d 19_left	
15618614	MB2ON-247	21308444	Eschbach, Fushiki et al. 2020b	Tidal wave right	
15662776	MB2ON-82	21308444	Eschbach, Fushiki et al. 2020b	DALcl12 v d 1 right|MB2IN-125	
15673454	MB2ON-114	21308444	Eschbach, Fushiki et al. 2020b	DALcl12 v d 2 right	
15706875	MB2IN-211	21308444	Eschbach, Fushiki et al. 2020b	CP1 v 5; right|MB2ON-237	
15736398	MB2ON-113	21308444	Eschbach, Fushiki et al. 2020b	BK: DALcl12 v d 19_right	
15924717	MB2ON-148	21308444	Eschbach, Fushiki et al. 2020b	Angry Eyes_left	
15974183	MB2ON-82	21308444	Eschbach, Fushiki et al. 2020b	DALcl12 v d 1 left|MB2IN-125	
16026677	MB2ON-133	21308444	Eschbach, Fushiki et al. 2020b	BP_left	
16070049	CN-1	21308444	Eschbach, Fushiki et al. 2020b	TR ; Down_pvl09_right|MB2ON-109	
16089738	MB2ON-102	21308444	Eschbach, Fushiki et al. 2020b	S_left	
16100461	LH-23	21308444	Eschbach, Fushiki et al. 2020b	T2: BLAv1 3 _sibling_left|MB2ON-120	
16181377	CN-52	21308444	Eschbach, Fushiki et al. 2020b	Bridge III_right|MB2ON-95|LH-7|LHN-16	
16295025	LHN-6	21308444	Eschbach, Fushiki et al. 2020b	US1: Claw_right|MB2ON-179|LH-26	
16339645	CN-35	21308444	Eschbach, Fushiki et al. 2020b	JI_right|MB2ON-103	
16350988	MB2ON-35	21308444	Eschbach, Fushiki et al. 2020b	IK; Loopy_right	
16355642	MB2ON-240	21308444	Eschbach, Fushiki et al. 2020b	Descending T right - AXON INCOMPLETE	
16356717	MB2ON-139	21308444	Eschbach, Fushiki et al. 2020b	WD_right	
16405545	MB2ON-17	21308444	Eschbach, Fushiki et al. 2020b	Tomato Vine_right	
16415910	MB2ON-125	21308444	Eschbach, Fushiki et al. 2020b	WQ_left	
16444552	MB2ON-94	21308444	Eschbach, Fushiki et al. 2020b	CG_left	
16445338	MB2ON-35	21308444	Eschbach, Fushiki et al. 2020b	IK; Loopy_left	
16464284	MB2ON-3	21308444	Eschbach, Fushiki et al. 2020b	BI ; NI_left	
16486385	CN-46	21308444	Eschbach, Fushiki et al. 2020b	LH bilateral axon 4_left; BLVa12 b 4|MB2ON-108|LH-11|LHN-10	
16544462	MB2ON-70	21308444	Eschbach, Fushiki et al. 2020b	BAmv1/2 #3_left|MB2IN-121	
16753901	MB2ON-234	21308444	Eschbach, Fushiki et al. 2020b	potential MB2ON-234 16753902 left	
16758011	MB2ON-71	21308444	Eschbach, Fushiki et al. 2020b	Baso_right|MB2IN-122	
16910799	MB2ON-59	21308444	Eschbach, Fushiki et al. 2020b	BT ; CM13 med 5_right	
16913476	MB2ON-64	21308444	Eschbach, Fushiki et al. 2020b	WI; CM4 dor ant 10 to LAL_right	
16950115	MB2ON-140	21308444	Eschbach, Fushiki et al. 2020b	DP: DALcm12 v p 24_left	
16950121	MB2ON-141	21308444	Eschbach, Fushiki et al. 2020b	WF; DALcm12 v p 13_left	
17019327	FB-24	21308444	Eschbach, Fushiki et al. 2020b	CF ; pDM_right|MB2IN-28|MB2ON-84	
17053386	MB2ON-240	21308444	Eschbach, Fushiki et al. 2020b	Descending T left - AXON INCOMPLETE	
